Date,Day,Time,Junction_N,Speed_N,Northbound_from,Northbound_to,Information_N,Junction_S,Speed_S,Southbound_from,Southbound_to,Information_S
10-02-2023,Friday,10:00:00,J29-J29A,67,Chesterfield/Mansfield,Chesterfield(E)/Bolsover,,J29A-J29,67,Chesterfield(E)/Bolsover,Chesterfield/Mansfield,
10-02-2023,Friday,10:00:00,J28-J29,67,Mansfield,Chesterfield/Mansfield,,J29-J28,64,Chesterfield/Mansfield,Mansfield,
10-02-2023,Friday,10:00:00,J27-J28,66,Mansfield,Mansfield,,J28-J27,67,Mansfield,Mansfield,
10-02-2023,Friday,10:00:00,J26-J27,69,Nottingham,Mansfield,,J27-J26,68,Mansfield,Nottingham,
10-02-2023,Friday,10:00:00,J25-J26,66,Nottingham/Derby,Nottingham,,J26-J25,66,Nottingham,Nottingham/Derby,
10-02-2023,Friday,10:00:00,J24A-J25,64,Derby,Nottingham/Derby,,J25-J24A,64,Nottingham/Derby,Derby,
10-02-2023,Friday,10:00:00,J24-J24A,70,Derby,Derby,,J24A-J24,65,Derby,Derby,
10-02-2023,Friday,10:00:00,J23A-J24,66,Nottingham/EastMidsAirport,Derby,,J24-J23A,66,Derby,Nottingham/EastMidsAirport,
10-02-2023,Friday,10:00:00,J23-J23A,61,Loughborough,Nottingham/EastMidsAirport,,J23A-J23,69,Nottingham/EastMidsAirport,Loughborough,
10-02-2023,Friday,10:00:00,J22-J23,65,Coalville/Leicester,Loughborough,,J23-J22,64,Loughborough,Coalville/Leicester,
10-02-2023,Friday,10:00:00,J21A-J22,63,Leicester,Coalville/Leicester,,J22-J21A,62,Coalville/Leicester,Leicester,
10-02-2023,Friday,10:00:00,J21-J21A,61,Leicester,Leicester,,J21A-J21,61,Leicester,Leicester,
10-02-2023,Friday,10:00:00,J20-J21,63,Lutterworth/Rugby,Leicester,,J21-J20,67,Leicester,Lutterworth/Rugby,
10-02-2023,Friday,10:00:00,J19-J20,61,Birmingham,Lutterworth/Rugby,,J20-J19,66,Lutterworth/Rugby,Birmingham,
10-02-2023,Friday,10:00:00,J18-J19,62,Rugby,Birmingham,,J19-J18,69,Birmingham,Rugby,
10-02-2023,Friday,10:00:00,J17-J18,63,Coventry,Rugby,,J18-J17,64,Rugby,Coventry,
10-02-2023,Friday,10:00:00,J16-J17,60,Northampton,Coventry,,J17-J16,64,Coventry,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,10:00:00,J15A-J16,57,Northampton,Northampton,,J16-J15A,50,Northampton,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,10:00:00,J15-J15A,57,Northampton,Northampton,,J15A-J15,57,Northampton,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,10:00:00,J14-J15,59,MiltonKeynes,Northampton,Unconfirmed Roadwork,J15-J14,61,Northampton,MiltonKeynes,
10-02-2023,Friday,10:00:00,J13-J14,60,MiltonKeynes,MiltonKeynes,,J14-J13,62,MiltonKeynes,MiltonKeynes,
10-02-2023,Friday,10:00:00,J12-J13,61,Flitwick,MiltonKeynes,Unconfirmed Roadwork,J13-J12,62,MiltonKeynes,Flitwick,Unconfirmed Roadwork
10-02-2023,Friday,10:00:00,J11A-J12,63,Dunstable,Flitwick,Unconfirmed Roadwork,J12-J11A,61,Flitwick,Dunstable,
10-02-2023,Friday,10:00:00,J11-J11A,63,Luton,Dunstable,Unconfirmed Roadwork,J11A-J11,56,Dunstable,Luton,
10-02-2023,Friday,10:00:00,J10-J11,58,LutonAirport,Luton,,J11-J10,59,Luton,LutonAirport,
10-02-2023,Friday,10:00:00,J9-J10,64,Dunstable,LutonAirport,,J10-J9,64,LutonAirport,Dunstable,
10-02-2023,Friday,10:00:00,J8-J9,64,HemelHempstead,Dunstable,,J9-J8,62,Dunstable,HemelHempstead,
10-02-2023,Friday,10:00:00,J7-J8,57,LimitedAccess,HemelHempstead,,J8-J7,57,HemelHempstead,LimitedAccess,
10-02-2023,Friday,10:00:00,J6A-J7,62,LimitedAccess,LimitedAccess,,J7-J6A,65,LimitedAccess,LimitedAccess,
10-02-2023,Friday,10:00:00,J6-J6A,64,StAlbans,LimitedAccess,,J6A-J6,70,LimitedAccess,StAlbans,
10-02-2023,Friday,10:00:00,J5-J6,64,Watford,StAlbans,,J6-J5,67,StAlbans,Watford,
10-02-2023,Friday,10:00:00,J4-J5,64,LimitedAccess,Watford,Unconfirmed Roadwork,J5-J4,68,Watford,LimitedAccess,
10-02-2023,Friday,10:00:00,J2-J4,65,LimitedAccess,LimitedAccess,,J4-J2,70,LimitedAccess,LimitedAccess,
10-02-2023,Friday,10:00:00,J1-J2,67,BrentCross,LimitedAccess,,J2-J1,56,LimitedAccess,BrentCross,
10-02-2023,Friday,15:00:00,J47-J48,69,Garforth/A1(M)Interchange,A1(M)Interchange,,J48-J47,70,A1(M)Interchange,Garforth/A1(M)Interchange,
10-02-2023,Friday,15:00:00,J46-J47,70,Leeds,Garforth/A1(M)Interchange,,J47-J46,70,Garforth/A1(M)Interchange,Leeds,
10-02-2023,Friday,15:00:00,J45-J46,68,LimitedAccess,Leeds,Unconfirmed Roadwork,J46-J45,69,Leeds,LimitedAccess,
10-02-2023,Friday,15:00:00,J43|44-J45,70,Leeds,LimitedAccess,,J45-J43|44,63,LimitedAccess,Leeds,
10-02-2023,Friday,15:00:00,J42-J43|44,62,Manchester/Hull,Leeds,Unconfirmed Roadwork,J43|44-J42,55,Leeds,Manchester/Hull,
10-02-2023,Friday,15:00:00,J41-J42,52,Wakefield,Manchester/Hull,Unconfirmed Roadwork,J42-J41,63,Manchester/Hull,Wakefield,
10-02-2023,Friday,15:00:00,J40-J41,63,Dewsbury/Wakefield,Wakefield,Unconfirmed Roadwork,J41-J40,65,Wakefield,Dewsbury/Wakefield,
10-02-2023,Friday,15:00:00,J39-J40,60,Wakefield,Dewsbury/Wakefield,,J40-J39,65,Dewsbury/Wakefield,Wakefield,
10-02-2023,Friday,15:00:00,J38-J39,67,Huddersfield,Wakefield,,J39-J38,70,Wakefield,Huddersfield,
10-02-2023,Friday,15:00:00,J37-J38,66,Barnsley,Huddersfield,Unconfirmed Roadwork,J38-J37,67,Huddersfield,Barnsley,Unconfirmed Roadwork
10-02-2023,Friday,15:00:00,J36-J37,64,Barnsley,Barnsley,,J37-J36,67,Barnsley,Barnsley,
10-02-2023,Friday,15:00:00,J35A-J36,67,Chapeltown,Barnsley,,J36-J35A,67,Barnsley,Chapeltown,
10-02-2023,Friday,15:00:00,J35-J35A,65,Sheffield/Rotherham,Chapeltown,,J35A-J35,67,Chapeltown,Sheffield/Rotherham,
10-02-2023,Friday,15:00:00,J34-J35,67,Sheffield/Rotherham,Sheffield/Rotherham,,J35-J34,64,Sheffield/Rotherham,Sheffield/Rotherham,Unconfirmed Roadwork
10-02-2023,Friday,15:00:00,J33-J34,56,SheffieldAirport/Rotherham,Sheffield/Rotherham,,J34-J33,58,Sheffield/Rotherham,SheffieldAirport/Rotherham,
10-02-2023,Friday,15:00:00,J32-J33,58,Doncaster,SheffieldAirport/Rotherham,,J33-J32,65,SheffieldAirport/Rotherham,Doncaster,
10-02-2023,Friday,15:00:00,J31-J32,62,Sheffield,Doncaster,,J32-J31,67,Doncaster,Sheffield,
10-02-2023,Friday,15:00:00,J30-J31,60,Sheffield,Sheffield,,J31-J30,68,Sheffield,Sheffield,
10-02-2023,Friday,15:00:00,J29A-J30,54,Chesterfield(E)/Bolsover,Sheffield,,J30-J29A,67,Sheffield,Chesterfield(E)/Bolsover,
10-02-2023,Friday,15:00:00,J29-J29A,62,Chesterfield/Mansfield,Chesterfield(E)/Bolsover,,J29A-J29,66,Chesterfield(E)/Bolsover,Chesterfield/Mansfield,
10-02-2023,Friday,15:00:00,J28-J29,57,Mansfield,Chesterfield/Mansfield,,J29-J28,67,Chesterfield/Mansfield,Mansfield,
10-02-2023,Friday,15:00:00,J27-J28,55,Mansfield,Mansfield,,J28-J27,69,Mansfield,Mansfield,
10-02-2023,Friday,15:00:00,J26-J27,48,Nottingham,Mansfield,,J27-J26,68,Mansfield,Nottingham,
10-02-2023,Friday,15:00:00,J25-J26,66,Nottingham/Derby,Nottingham,,J26-J25,65,Nottingham,Nottingham/Derby,
10-02-2023,Friday,15:00:00,J24A-J25,65,Derby,Nottingham/Derby,,J25-J24A,65,Nottingham/Derby,Derby,
10-02-2023,Friday,15:00:00,J24-J24A,67,Derby,Derby,,J24A-J24,65,Derby,Derby,
10-02-2023,Friday,15:00:00,J23A-J24,64,Nottingham/EastMidsAirport,Derby,,J24-J23A,64,Derby,Nottingham/EastMidsAirport,
10-02-2023,Friday,15:00:00,J23-J23A,61,Loughborough,Nottingham/EastMidsAirport,,J23A-J23,67,Nottingham/EastMidsAirport,Loughborough,
10-02-2023,Friday,15:00:00,J22-J23,66,Coalville/Leicester,Loughborough,,J23-J22,64,Loughborough,Coalville/Leicester,
10-02-2023,Friday,15:00:00,J21A-J22,66,Leicester,Coalville/Leicester,,J22-J21A,69,Coalville/Leicester,Leicester,
10-02-2023,Friday,15:00:00,J21-J21A,59,Leicester,Leicester,,J21A-J21,60,Leicester,Leicester,
10-02-2023,Friday,15:00:00,J20-J21,61,Lutterworth/Rugby,Leicester,,J21-J20,68,Leicester,Lutterworth/Rugby,
10-02-2023,Friday,15:00:00,J19-J20,66,Birmingham,Lutterworth/Rugby,,J20-J19,70,Lutterworth/Rugby,Birmingham,
10-02-2023,Friday,15:00:00,J18-J19,64,Rugby,Birmingham,,J19-J18,69,Birmingham,Rugby,
10-02-2023,Friday,15:00:00,J17-J18,66,Coventry,Rugby,,J18-J17,69,Rugby,Coventry,
10-02-2023,Friday,15:00:00,J16-J17,64,Northampton,Coventry,,J17-J16,65,Coventry,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,15:00:00,J15A-J16,60,Northampton,Northampton,,J16-J15A,54,Northampton,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,15:00:00,J15-J15A,61,Northampton,Northampton,,J15A-J15,58,Northampton,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,15:00:00,J14-J15,65,MiltonKeynes,Northampton,Unconfirmed Roadwork,J15-J14,61,Northampton,MiltonKeynes,
10-02-2023,Friday,15:00:00,J13-J14,65,MiltonKeynes,MiltonKeynes,,J14-J13,65,MiltonKeynes,MiltonKeynes,
10-02-2023,Friday,15:00:00,J12-J13,63,Flitwick,MiltonKeynes,Unconfirmed Roadwork,J13-J12,60,MiltonKeynes,Flitwick,Unconfirmed Roadwork
10-02-2023,Friday,15:00:00,J11A-J12,66,Dunstable,Flitwick,Unconfirmed Roadwork,J12-J11A,60,Flitwick,Dunstable,
10-02-2023,Friday,15:00:00,J11-J11A,59,Luton,Dunstable,Unconfirmed Roadwork,J11A-J11,61,Dunstable,Luton,
10-02-2023,Friday,15:00:00,J10-J11,59,LutonAirport,Luton,,J11-J10,57,Luton,LutonAirport,
10-02-2023,Friday,15:00:00,J9-J10,65,Dunstable,LutonAirport,,J10-J9,58,LutonAirport,Dunstable,
10-02-2023,Friday,15:00:00,J8-J9,32,HemelHempstead,Dunstable,Congestion,J9-J8,57,Dunstable,HemelHempstead,
10-02-2023,Friday,15:00:00,J7-J8,8,LimitedAccess,HemelHempstead,,J8-J7,43,HemelHempstead,LimitedAccess,
10-02-2023,Friday,15:00:00,J6A-J7,25,LimitedAccess,LimitedAccess,,J7-J6A,34,LimitedAccess,LimitedAccess,
10-02-2023,Friday,15:00:00,J6-J6A,32,StAlbans,LimitedAccess,,J6A-J6,66,LimitedAccess,StAlbans,
10-02-2023,Friday,15:00:00,J5-J6,40,Watford,StAlbans,,J6-J5,60,StAlbans,Watford,
10-02-2023,Friday,15:00:00,J4-J5,69,LimitedAccess,Watford,Unconfirmed Roadwork,J5-J4,63,Watford,LimitedAccess,
10-02-2023,Friday,15:00:00,J2-J4,70,LimitedAccess,LimitedAccess,,J4-J2,65,LimitedAccess,LimitedAccess,
10-02-2023,Friday,15:00:00,J1-J2,70,BrentCross,LimitedAccess,,J2-J1,55,LimitedAccess,BrentCross,
10-02-2023,Friday,19:00:00,J47-J48,70,Garforth/A1(M)Interchange,A1(M)Interchange,,J48-J47,70,A1(M)Interchange,Garforth/A1(M)Interchange,
10-02-2023,Friday,19:00:00,J46-J47,69,Leeds,Garforth/A1(M)Interchange,,J47-J46,70,Garforth/A1(M)Interchange,Leeds,
10-02-2023,Friday,19:00:00,J45-J46,68,LimitedAccess,Leeds,Unconfirmed Roadwork,J46-J45,70,Leeds,LimitedAccess,
10-02-2023,Friday,19:00:00,J43|44-J45,68,Leeds,LimitedAccess,,J45-J43|44,65,LimitedAccess,Leeds,
10-02-2023,Friday,19:00:00,J42-J43|44,59,Manchester/Hull,Leeds,Unconfirmed Roadwork,J43|44-J42,53,Leeds,Manchester/Hull,
10-02-2023,Friday,19:00:00,J41-J42,52,Wakefield,Manchester/Hull,Unconfirmed Roadwork,J42-J41,62,Manchester/Hull,Wakefield,
10-02-2023,Friday,19:00:00,J40-J41,64,Dewsbury/Wakefield,Wakefield,Unconfirmed Roadwork,J41-J40,65,Wakefield,Dewsbury/Wakefield,
10-02-2023,Friday,19:00:00,J39-J40,66,Wakefield,Dewsbury/Wakefield,,J40-J39,66,Dewsbury/Wakefield,Wakefield,
10-02-2023,Friday,19:00:00,J38-J39,68,Huddersfield,Wakefield,,J39-J38,63,Wakefield,Huddersfield,
10-02-2023,Friday,19:00:00,J37-J38,70,Barnsley,Huddersfield,Unconfirmed Roadwork,J38-J37,61,Huddersfield,Barnsley,
10-02-2023,Friday,19:00:00,J36-J37,67,Barnsley,Barnsley,,J37-J36,66,Barnsley,Barnsley,
10-02-2023,Friday,19:00:00,J35A-J36,69,Chapeltown,Barnsley,,J36-J35A,70,Barnsley,Chapeltown,
10-02-2023,Friday,19:00:00,J35-J35A,66,Sheffield/Rotherham,Chapeltown,,J35A-J35,67,Chapeltown,Sheffield/Rotherham,
10-02-2023,Friday,19:00:00,J34-J35,66,Sheffield/Rotherham,Sheffield/Rotherham,,J35-J34,63,Sheffield/Rotherham,Sheffield/Rotherham,Unconfirmed Roadwork
10-02-2023,Friday,19:00:00,J33-J34,62,SheffieldAirport/Rotherham,Sheffield/Rotherham,,J34-J33,58,Sheffield/Rotherham,SheffieldAirport/Rotherham,
10-02-2023,Friday,19:00:00,J32-J33,59,Doncaster,SheffieldAirport/Rotherham,,J33-J32,62,SheffieldAirport/Rotherham,Doncaster,
10-02-2023,Friday,19:00:00,J31-J32,65,Sheffield,Doncaster,,J32-J31,64,Doncaster,Sheffield,
10-02-2023,Friday,19:00:00,J30-J31,70,Sheffield,Sheffield,,J31-J30,67,Sheffield,Sheffield,
10-02-2023,Friday,19:00:00,J29A-J30,70,Chesterfield(E)/Bolsover,Sheffield,,J30-J29A,66,Sheffield,Chesterfield(E)/Bolsover,
10-02-2023,Friday,19:00:00,J29-J29A,69,Chesterfield/Mansfield,Chesterfield(E)/Bolsover,,J29A-J29,64,Chesterfield(E)/Bolsover,Chesterfield/Mansfield,
10-02-2023,Friday,19:00:00,J28-J29,67,Mansfield,Chesterfield/Mansfield,,J29-J28,64,Chesterfield/Mansfield,Mansfield,
10-02-2023,Friday,19:00:00,J27-J28,68,Mansfield,Mansfield,,J28-J27,69,Mansfield,Mansfield,
10-02-2023,Friday,19:00:00,J26-J27,65,Nottingham,Mansfield,,J27-J26,67,Mansfield,Nottingham,
10-02-2023,Friday,19:00:00,J25-J26,59,Nottingham/Derby,Nottingham,,J26-J25,64,Nottingham,Nottingham/Derby,
10-02-2023,Friday,19:00:00,J24A-J25,52,Derby,Nottingham/Derby,,J25-J24A,65,Nottingham/Derby,Derby,
10-02-2023,Friday,19:00:00,J24-J24A,22,Derby,Derby,,J24A-J24,65,Derby,Derby,
10-02-2023,Friday,19:00:00,J23A-J24,35,Nottingham/EastMidsAirport,Derby,,J24-J23A,65,Derby,Nottingham/EastMidsAirport,
10-02-2023,Friday,19:00:00,J23-J23A,65,Loughborough,Nottingham/EastMidsAirport,,J23A-J23,66,Nottingham/EastMidsAirport,Loughborough,
10-02-2023,Friday,19:00:00,J22-J23,67,Coalville/Leicester,Loughborough,,J23-J22,65,Loughborough,Coalville/Leicester,
10-02-2023,Friday,19:00:00,J21A-J22,65,Leicester,Coalville/Leicester,,J22-J21A,65,Coalville/Leicester,Leicester,
10-02-2023,Friday,19:00:00,J21-J21A,57,Leicester,Leicester,,J21A-J21,59,Leicester,Leicester,
10-02-2023,Friday,19:00:00,J20-J21,70,Lutterworth/Rugby,Leicester,,J21-J20,65,Leicester,Lutterworth/Rugby,
10-02-2023,Friday,19:00:00,J19-J20,70,Birmingham,Lutterworth/Rugby,,J20-J19,70,Lutterworth/Rugby,Birmingham,
10-02-2023,Friday,19:00:00,J18-J19,65,Rugby,Birmingham,,J19-J18,67,Birmingham,Rugby,
10-02-2023,Friday,19:00:00,J17-J18,67,Coventry,Rugby,,J18-J17,66,Rugby,Coventry,
10-02-2023,Friday,19:00:00,J16-J17,64,Northampton,Coventry,,J17-J16,61,Coventry,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,19:00:00,J15A-J16,58,Northampton,Northampton,,J16-J15A,52,Northampton,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,19:00:00,J15-J15A,59,Northampton,Northampton,,J15A-J15,58,Northampton,Northampton,Unconfirmed Roadwork
10-02-2023,Friday,19:00:00,J14-J15,62,MiltonKeynes,Northampton,Unconfirmed Roadwork,J15-J14,64,Northampton,MiltonKeynes,
10-02-2023,Friday,19:00:00,J13-J14,62,MiltonKeynes,MiltonKeynes,,J14-J13,62,MiltonKeynes,MiltonKeynes,
10-02-2023,Friday,19:00:00,J12-J13,40,Flitwick,MiltonKeynes,Unconfirmed Roadwork,J13-J12,59,MiltonKeynes,Flitwick,Unconfirmed Roadwork
10-02-2023,Friday,19:00:00,J11A-J12,45,Dunstable,Flitwick,Unconfirmed Roadwork,J12-J11A,46,Flitwick,Dunstable,
10-02-2023,Friday,19:00:00,J11-J11A,56,Luton,Dunstable,Unconfirmed Roadwork,J11A-J11,35,Dunstable,Luton,
10-02-2023,Friday,19:00:00,J10-J11,54,LutonAirport,Luton,,J11-J10,52,Luton,LutonAirport,
10-02-2023,Friday,19:00:00,J9-J10,54,Dunstable,LutonAirport,,J10-J9,58,LutonAirport,Dunstable,
10-02-2023,Friday,19:00:00,J8-J9,33,HemelHempstead,Dunstable,,J9-J8,58,Dunstable,HemelHempstead,
10-02-2023,Friday,19:00:00,J7-J8,47,LimitedAccess,HemelHempstead,,J8-J7,59,HemelHempstead,LimitedAccess,
10-02-2023,Friday,19:00:00,J6A-J7,33,LimitedAccess,LimitedAccess,,J7-J6A,55,LimitedAccess,LimitedAccess,
10-02-2023,Friday,19:00:00,J6-J6A,22,StAlbans,LimitedAccess,,J6A-J6,66,LimitedAccess,StAlbans,
10-02-2023,Friday,19:00:00,J5-J6,62,Watford,StAlbans,,J6-J5,63,StAlbans,Watford,
10-02-2023,Friday,19:00:00,J4-J5,64,LimitedAccess,Watford,Unconfirmed Roadwork,J5-J4,64,Watford,LimitedAccess,
10-02-2023,Friday,19:00:00,J2-J4,67,LimitedAccess,LimitedAccess,,J4-J2,62,LimitedAccess,LimitedAccess,
10-02-2023,Friday,19:00:00,J1-J2,62,BrentCross,LimitedAccess,,J2-J1,52,LimitedAccess,BrentCross,
11-02-2023,Saturday,10:00:00,J47-J48,70,Garforth/A1(M)Interchange,A1(M)Interchange,,J48-J47,70,A1(M)Interchange,Garforth/A1(M)Interchange,
11-02-2023,Saturday,10:00:00,J46-J47,70,Leeds,Garforth/A1(M)Interchange,,J47-J46,69,Garforth/A1(M)Interchange,Leeds,
11-02-2023,Saturday,10:00:00,J45-J46,68,LimitedAccess,Leeds,Unconfirmed Roadwork,J46-J45,68,Leeds,LimitedAccess,
11-02-2023,Saturday,10:00:00,J43|44-J45,70,Leeds,LimitedAccess,,J45-J43|44,67,LimitedAccess,Leeds,
11-02-2023,Saturday,10:00:00,J42-J43|44,58,Manchester/Hull,Leeds,Unconfirmed Roadwork,J43|44-J42,54,Leeds,Manchester/Hull,
11-02-2023,Saturday,10:00:00,J41-J42,50,Wakefield,Manchester/Hull,Unconfirmed Roadwork,J42-J41,62,Manchester/Hull,Wakefield,
11-02-2023,Saturday,10:00:00,J40-J41,68,Dewsbury/Wakefield,Wakefield,Unconfirmed Roadwork,J41-J40,62,Wakefield,Dewsbury/Wakefield,
11-02-2023,Saturday,10:00:00,J39-J40,70,Wakefield,Dewsbury/Wakefield,,J40-J39,66,Dewsbury/Wakefield,Wakefield,
11-02-2023,Saturday,10:00:00,J38-J39,70,Huddersfield,Wakefield,,J39-J38,69,Wakefield,Huddersfield,
11-02-2023,Saturday,10:00:00,J37-J38,70,Barnsley,Huddersfield,,J38-J37,69,Huddersfield,Barnsley,
11-02-2023,Saturday,10:00:00,J36-J37,70,Barnsley,Barnsley,,J37-J36,70,Barnsley,Barnsley,
11-02-2023,Saturday,10:00:00,J35A-J36,70,Chapeltown,Barnsley,,J36-J35A,69,Barnsley,Chapeltown,
11-02-2023,Saturday,10:00:00,J35-J35A,70,Sheffield/Rotherham,Chapeltown,,J35A-J35,68,Chapeltown,Sheffield/Rotherham,
11-02-2023,Saturday,10:00:00,J34-J35,68,Sheffield/Rotherham,Sheffield/Rotherham,,J35-J34,62,Sheffield/Rotherham,Sheffield/Rotherham,Unconfirmed Roadwork
11-02-2023,Saturday,10:00:00,J33-J34,60,SheffieldAirport/Rotherham,Sheffield/Rotherham,Unconfirmed Roadwork,J34-J33,60,Sheffield/Rotherham,SheffieldAirport/Rotherham,
11-02-2023,Saturday,10:00:00,J32-J33,59,Doncaster,SheffieldAirport/Rotherham,Unconfirmed Roadwork,J33-J32,66,SheffieldAirport/Rotherham,Doncaster,
11-02-2023,Saturday,10:00:00,J31-J32,63,Sheffield,Doncaster,,J32-J31,67,Doncaster,Sheffield,
11-02-2023,Saturday,10:00:00,J30-J31,70,Sheffield,Sheffield,,J31-J30,67,Sheffield,Sheffield,
11-02-2023,Saturday,10:00:00,J29A-J30,68,Chesterfield(E)/Bolsover,Sheffield,,J30-J29A,68,Sheffield,Chesterfield(E)/Bolsover,
11-02-2023,Saturday,10:00:00,J29-J29A,70,Chesterfield/Mansfield,Chesterfield(E)/Bolsover,,J29A-J29,67,Chesterfield(E)/Bolsover,Chesterfield/Mansfield,
11-02-2023,Saturday,10:00:00,J28-J29,68,Mansfield,Chesterfield/Mansfield,,J29-J28,60,Chesterfield/Mansfield,Mansfield,
11-02-2023,Saturday,10:00:00,J27-J28,70,Mansfield,Mansfield,,J28-J27,70,Mansfield,Mansfield,
11-02-2023,Saturday,10:00:00,J26-J27,70,Nottingham,Mansfield,,J27-J26,70,Mansfield,Nottingham,
11-02-2023,Saturday,10:00:00,J25-J26,70,Nottingham/Derby,Nottingham,,J26-J25,68,Nottingham,Nottingham/Derby,
11-02-2023,Saturday,10:00:00,J24A-J25,70,Derby,Nottingham/Derby,,J25-J24A,70,Nottingham/Derby,Derby,
11-02-2023,Saturday,10:00:00,J24-J24A,69,Derby,Derby,,J24A-J24,69,Derby,Derby,
11-02-2023,Saturday,10:00:00,J23A-J24,68,Nottingham/EastMidsAirport,Derby,,J24-J23A,69,Derby,Nottingham/EastMidsAirport,
11-02-2023,Saturday,10:00:00,J23-J23A,68,Loughborough,Nottingham/EastMidsAirport,,J23A-J23,70,Nottingham/EastMidsAirport,Loughborough,
11-02-2023,Saturday,10:00:00,J22-J23,70,Coalville/Leicester,Loughborough,,J23-J22,70,Loughborough,Coalville/Leicester,
11-02-2023,Saturday,10:00:00,J21A-J22,69,Leicester,Coalville/Leicester,,J22-J21A,70,Coalville/Leicester,Leicester,
11-02-2023,Saturday,10:00:00,J21-J21A,63,Leicester,Leicester,,J21A-J21,61,Leicester,Leicester,
11-02-2023,Saturday,10:00:00,J20-J21,70,Lutterworth/Rugby,Leicester,,J21-J20,69,Leicester,Lutterworth/Rugby,
11-02-2023,Saturday,10:00:00,J19-J20,70,Birmingham,Lutterworth/Rugby,,J20-J19,66,Lutterworth/Rugby,Birmingham,
11-02-2023,Saturday,10:00:00,J18-J19,64,Rugby,Birmingham,,J19-J18,69,Birmingham,Rugby,
11-02-2023,Saturday,10:00:00,J17-J18,68,Coventry,Rugby,,J18-J17,68,Rugby,Coventry,
11-02-2023,Saturday,10:00:00,J16-J17,63,Northampton,Coventry,,J17-J16,64,Coventry,Northampton,Unconfirmed Roadwork
11-02-2023,Saturday,10:00:00,J15A-J16,58,Northampton,Northampton,,J16-J15A,54,Northampton,Northampton,Unconfirmed Roadwork
11-02-2023,Saturday,10:00:00,J15-J15A,59,Northampton,Northampton,Unconfirmed Roadwork,J15A-J15,57,Northampton,Northampton,Unconfirmed Roadwork
